nt 102600001
NFil 2
irLigand 8.333330
brLigand 40.000000
Force 0.000000
kdimer 0.000000
dimerDist0 1.000000
baseSepDistance 35.500000
PAvailable_NumSites[i] 90 0.000000
PAvailable_NumSites[i] 91 0.000000
PAvailable_NumSites[i] 92 0.000000
PAvailable_NumSites[i] 93 0.000000
PAvailable_NumSites[i] 94 0.000000
PAvailable_NumSites[i] 95 0.000000
PAvailable_NumSites[i] 96 0.000000
PAvailable_NumSites[i] 97 0.000000
PAvailable_NumSites[i] 98 0.000000
PAvailable_NumSites[i] 99 0.000000
PAvailable_NumSites[i] 100 0.000000
N[nf] 0 50
ksStatistic[nf] 0 0.001258
reeBar[nf] 0 6.524219
ree2Bar[nf] 0 49.995810
rMBar[nf] 0 -0.001626
rM2Bar[nf] 0 16.580413
iSite[nf][iy] 0 0 0
POcclude[nf][iy] 0 0 8.684431e-01
1-POcclude[nf][iy] 0 0 1.315569e-01
PMembraneOcclude[nf][iy] 0 0 0.000000e+00
Prvec0[nf][iy] 0 0 0.000000e+00
Prvec0_up[nf][iy] 0 0 0.000000e+00
Prvec0_halfup[nf][iy] 0 0 0.000000e+00
Prvec0_rad[nf][iy] 0 0 5.000000e-01
Prvec0_up_rad[nf][iy] 0 0 5.000000e-01
Prvec0_halfup_rad[nf][iy] 0 0 5.000000e-01
Prvec0_sum[nf][iy] 0 0 0
Prvec0_up_sum[nf][iy] 0 0 0
Prvec0_halfup_sum[nf][iy] 0 0 0
Prvec0_op[nf][iy] 0 0 0.000000e+00
Prvec_cen[nf][iy] 0 0 0.000000e+00
Prvec_offcen[nf][iy] 0 0 0.000000e+00
Prvec_offcen_op[nf][iy] 0 0 0.000000e+00
Prvec0_up_op[nf][iy] 0 0 0.000000e+00
Prvec_cen_up[nf][iy] 0 0 0.000000e+00
Prvec_offcen_up[nf][iy] 0 0 0.000000e+00
Prvec_offcen_up_op[nf][iy] 0 0 0.000000e+00
Prvec0_halfup_op[nf][iy] 0 0 0.000000e+00
Prvec_cen_halfup[nf][iy] 0 0 0.000000e+00
Prvec_offcen_halfup[nf][iy] 0 0 0.000000e+00
Prvec_offcen_halfup_op[nf][iy] 0 0 0.000000e+00
Prvec0_op_rad[nf][iy] 0 0 5.000000e-01
Prvec_cen_rad[nf][iy] 0 0 5.000000e-01
Prvec_offcen_rad[nf][iy] 0 0 5.000000e-01
Prvec_offcen_op_rad[nf][iy] 0 0 5.000000e-01
Prvec0_up_op_rad[nf][iy] 0 0 5.000000e-01
Prvec_cen_up_rad[nf][iy] 0 0 5.000000e-01
Prvec_offcen_up_rad[nf][iy] 0 0 5.000000e-01
Prvec_offcen_up_op_rad[nf][iy] 0 0 5.000000e-01
Prvec0_halfup_op_rad[nf][iy] 0 0 5.000000e-01
Prvec_cen_halfup_rad[nf][iy] 0 0 5.000000e-01
Prvec_offcen_halfup_rad[nf][iy] 0 0 5.000000e-01
Prvec_offcen_halfup_op_rad[nf][iy] 0 0 5.000000e-01
Prvec0_op_sum[nf][iy] 0 0 0
Prvec_cen_sum[nf][iy] 0 0 0
Prvec_offcen_sum[nf][iy] 0 0 0
Prvec_offcen_op_sum[nf][iy] 0 0 0
Prvec0_up_op_sum[nf][iy] 0 0 0
Prvec_cen_up_sum[nf][iy] 0 0 0
Prvec_offcen_up_sum[nf][iy] 0 0 0
Prvec_offcen_up_op_sum[nf][iy] 0 0 0
